construction_kind,curve_index,curve_label,family_label,a,b,s,t,F_integral,height_F,affine_point_count,projective_lower_bound,n_orbits,pari_height
d4_reciprocal,99,CURBA #99,D4_t=-29/20,10,-145,100,-29/20,100*x^6 - 145*x^4 - 145*x^2 + 100,145,18,20,3,200000
d4_reciprocal,100,CURBA #100,D4_t=-148/49,7,-148,49,-148/49,49*x^6 - 148*x^4 - 148*x^2 + 49,148,18,20,3,200000
d4_reciprocal,101,CURBA #101,D4_t=-151/9,3,-151,9,-151/9,9*x^6 - 151*x^4 - 151*x^2 + 9,151,18,20,3,200000
d4_reciprocal,102,CURBA #102,D4_t=-161/64,8,-161,64,-161/64,64*x^6 - 161*x^4 - 161*x^2 + 64,161,18,20,3,200000
d4_reciprocal,103,CURBA #103,D4_t=-4/169,13,-4,169,-4/169,169*x^6 - 4*x^4 - 4*x^2 + 169,169,18,20,3,200000
d4_reciprocal,104,CURBA #104,D4_t=5/13,13,65,169,5/13,169*x^6 + 65*x^4 + 65*x^2 + 169,169,18,20,3,200000
d4_reciprocal,105,CURBA #105,D4_t=-178/9,3,-178,9,-178/9,9*x^6 - 178*x^4 - 178*x^2 + 9,178,18,20,3,200000
d4_reciprocal,106,CURBA #106,D4_t=-14/13,13,-182,169,-14/13,169*x^6 - 182*x^4 - 182*x^2 + 169,182,18,20,3,200000
d4_reciprocal,107,CURBA #107,D4_t=5/14,14,70,196,5/14,196*x^6 + 70*x^4 + 70*x^2 + 196,196,18,20,3,200000
d4_reciprocal,108,CURBA #108,D4_t=-13/15,15,-195,225,-13/15,225*x^6 - 195*x^4 - 195*x^2 + 225,225,18,20,3,200000
d4_reciprocal,109,CURBA #109,D4_t=-28/75,15,-84,225,-28/75,225*x^6 - 84*x^4 - 84*x^2 + 225,225,18,20,3,200000
d4_reciprocal,110,CURBA #110,D4_t=4/75,15,12,225,4/75,225*x^6 + 12*x^4 + 12*x^2 + 225,225,18,20,3,200000
d4_reciprocal,111,CURBA #111,D4_t=161/225,15,161,225,161/225,225*x^6 + 161*x^4 + 161*x^2 + 225,225,18,20,3,200000
d4_reciprocal,112,CURBA #112,D4_t=56/75,15,168,225,56/75,225*x^6 + 168*x^4 + 168*x^2 + 225,225,18,20,3,200000
d4_reciprocal,113,CURBA #113,D4_t=182/225,15,182,225,182/225,225*x^6 + 182*x^4 + 182*x^2 + 225,225,18,20,3,200000
d4_reciprocal,114,CURBA #114,D4_t=-1/2,2,-2,4,-1/2,4*x^6 - 2*x^4 - 2*x^2 + 4,4,14,16,3,200000
d4_reciprocal,115,CURBA #115,D4_t=-1/9,3,-1,9,-1/9,9*x^6 - x^4 - x^2 + 9,9,14,16,3,200000
d4_reciprocal,116,CURBA #116,D4_t=17,1,17,1,17,x^6 + 17*x^4 + 17*x^2 + 1,17,14,16,3,200000
d4_reciprocal,117,CURBA #117,D4_t=31,1,31,1,31,x^6 + 31*x^4 + 31*x^2 + 1,31,14,16,3,200000
d4_reciprocal,118,CURBA #118,D4_t=73/25,5,73,25,73/25,25*x^6 + 73*x^4 + 73*x^2 + 25,73,14,16,3,200000
d4_reciprocal,119,CURBA #119,D4_t=-49/81,9,-49,81,-49/81,81*x^6 - 49*x^4 - 49*x^2 + 81,81,14,16,3,200000
